Departamento,Municipio
Alta Verapaz,Cobán 
Alta Verapaz,Santa Cruz Verapaz
Alta Verapaz,San Cristóbal Verapaz
Alta Verapaz,Tactic
Alta Verapaz,Tamahú
Alta Verapaz,San Miguel Tucurú
Alta Verapaz,Panzóz
Alta Verapaz,Senahú
Alta Verapaz,San Pedro Carchá
Alta Verapaz,San Juan Chamelco
Alta Verapaz,San Agustín Lanquín
Alta Verapaz,Santa María Cahabón
Alta Verapaz,Chisec
Alta Verapaz,Chahal
Alta Verapaz,Fray Bartolomé de las Casas
Alta Verapaz,Santa Catalina La Tinta
Alta Verapaz,Raxruhá
Baja Verapaz,Salamá 
Baja Verapaz,San Miguel Chicaj
Baja Verapaz,Rabinal
Baja Verapaz,Cubulco
Baja Verapaz,Granados
Baja Verapaz,Santa Cruz el Chol
Baja Verapaz,San Jerónimo
Baja Verapaz,Purulhá
Chimaltenango,Chimaltenango 
Chimaltenango,San José Poaquil
Chimaltenango,San Martín Jilotepeque
Chimaltenango,San Juan Comalapa
Chimaltenango,Santa Apolonia
Chimaltenango,Tecpán
Chimaltenango,Patzún
Chimaltenango,San Miguel Pochuta
Chimaltenango,Patzicía
Chimaltenango,Santa Cruz Balanyá
Chimaltenango,Acatenango
Chimaltenango,San Pedro Yepocapa
Chimaltenango,San Andrés Itzapa
Chimaltenango,Parramos
Chimaltenango,Zaragoza
Chimaltenango,El Tejar
Chiquimula,Chiquimula 
Chiquimula,Jocotán
Chiquimula,Esquipulas
Chiquimula,Camotán
Chiquimula,Quezaltepeque
Chiquimula,Olopa
Chiquimula,Ipala
Chiquimula,San Juan Hermita
Chiquimula,Concepción Las Minas
Chiquimula,San Jacinto
Chiquimula,San José la Arada
Petén,Flores
Petén,Dolores
Petén,La Libertad
Petén,Las Cruces
Petén,Melchor de Mencos
Petén,Poptún
Petén,San Andrés
Petén,San Benito
Petén,San Francisco
Petén,San José
Petén,San Luis
Petén,Santa Ana
Petén,Sayaxché
Petén,El Chal
El Progreso,El Jícaro
El Progreso,Morazán
El Progreso,San Agustín Acasaguastlán
El Progreso,San Antonio La Paz
El Progreso,San Cristóbal Acasaguastlán
El Progreso,Sanarate
El Progreso,Guastatoya 
El Progreso,Sansare
Quiché,Santa Cruz del Quiché 
Quiché,Chiché
Quiché,Chinique
Quiché,Zacualpa
Quiché,Chajul
Quiché,Santo Tomás Chichicastenango
Quiché,Patzité
Quiché,San Antonio Ilotenango
Quiché,San Pedro Jocopilas
Quiché,Cunén
Quiché,San Juan Cotzal
Quiché,Santa María Joyabaj
Quiché,Santa María Nebaj
Quiché,San Andrés Sajcabajá
Quiché,Uspantán
Quiché,Sacapulas
Quiché,San Bartolomé Jocotenango
Quiché,Canillá
Quiché,Chicamán
Quiché,Ixcán
Quiché,Pachalum
Escuintla,Escuintla 
Escuintla,Santa Lucía Cotzumalguapa
Escuintla,La Democracia
Escuintla,Siquinalá
Escuintla,Masagua
Escuintla,Tiquisate
Escuintla,La Gomera
Escuintla,Guaganazapa
Escuintla,San José
Escuintla,Iztapa
Escuintla,Palín
Escuintla,San Vicente Pacaya
Escuintla,Nueva Concepción
Escuintla,Sipacate
Guatemala,Santa Catarina Pinula
Guatemala,San José Pinula
Guatemala,Guatemala 
Guatemala,San José del Golfo
Guatemala,Palencia
Guatemala,Chinautla
Guatemala,San Pedro Ayampuc
Guatemala,Mixco
Guatemala,San Pedro Sacatapéquez
Guatemala,San Juan Sacatepéquez
Guatemala,Chuarrancho
Guatemala,San Raymundo
Guatemala,Fraijanes
Guatemala,Amatitlán
Guatemala,Villa Nueva
Guatemala,Villa Canales
Guatemala,San Miguel Petapa
Huehuetenango,Huehuetenango
Huehuetenango,Aguacatán
Huehuetenango,Chiantla
Huehuetenango,Colotenango
Huehuetenango,Concepción Huista
Huehuetenango,Cuilco
Huehuetenango,Jacaltenango
Huehuetenango,La Democracia
Huehuetenango,La Libertad
Huehuetenango,Malacatancito
Huehuetenango,Nentón
Huehuetenango,San Antonio Huista
Huehuetenango,San Gaspar Ixchil
Huehuetenango,San Ildefonso Ixtahuacán
Huehuetenango,San Juan Atitán
Huehuetenango,San Juan Ixcoy
Huehuetenango,San Mateo Ixtatán
Huehuetenango,San Miguel Acatán
Huehuetenango,San Pedro Necta
Huehuetenango,San Pedro Soloma
Huehuetenango,San Rafael La Independencia
Huehuetenango,San Rafael Petza
Huehuetenango,San Sebastián Coatán
Huehuetenango,San Sebastián Huehuetenango
Huehuetenango,Santa Ana Huista
Huehuetenango,Santa Bárbara
Huehuetenango,Santa Cruz Barillas
Huehuetenango,Santa Eulalia
Huehuetenango,Santiago Chimaltenango
Huehuetenango,Tectitán
Huehuetenango,Todos Santos Cuchumatán
Huehuetenango,Unión Cantinil
Huehuetenango,Petatán
Izabal,Morales
Izabal,Los Amates
Izabal,Livingston
Izabal,El Estor
Izabal,Puerto Barrios 
Jalapa,Jalapa 
Jalapa,San Pedro Pinula
Jalapa,San Luis Jilotepeque
Jalapa,San Manuel Chaparrón
Jalapa,San Carlos Alzatate
Jalapa,Monjas
Jalapa,Mataquescuintla
Jutiapa,Zapotitlán
Jutiapa,Yupiltepeque
Jutiapa,Santa Catarina Mita
Jutiapa,San José Acatempa
Jutiapa,Quesada
Jutiapa,Pasaco
Jutiapa,Moyuta
Jutiapa,Jutiapa
Jutiapa,Jerez
Jutiapa,Jalpatagua
Jutiapa,El Progreso
Jutiapa,El Adelanto
Jutiapa,Conguaco
Jutiapa,Comapa
Jutiapa,Atescatempa
Jutiapa,Asunción Mita
Jutiapa,Agua Blanca
Quetzaltenango,Quetzaltenango 
Quetzaltenango,Salcajá
Quetzaltenango,Olintepeque
Quetzaltenango,San Carlos Sija
Quetzaltenango,Sibilia
Quetzaltenango,Cabricán
Quetzaltenango,Cajolá
Quetzaltenango,San Miguel Sigüilá
Quetzaltenango,San Juan Ostuncalco
Quetzaltenango,San Mateo
Quetzaltenango,Concepción Chiquirichapa
Quetzaltenango,San Martín Sacatepéquez
Quetzaltenango,Almolonga
Quetzaltenango,Cantel
Quetzaltenango,Huitán
Quetzaltenango,Zunil
Quetzaltenango,Colomba
Quetzaltenango,San Francisco La Unión
Quetzaltenango,El Palmar
Quetzaltenango,Coatepeque
Quetzaltenango,Génova
Quetzaltenango,Flores Costa Cuca
Quetzaltenango,La Esperanza
Quetzaltenango,Palestina de Los Altos
Retalhuleu,Retalhuleu 
Retalhuleu,San Sebastián
Retalhuleu,Santa Cruz Muluá
Retalhuleu,San Martín Zapotitlán
Retalhuleu,San Felipe
Retalhuleu,San Andrés Villa Seca
Retalhuleu,Champerico
Retalhuleu,Nuevo San Carlos
Retalhuleu,El Asintal
Sacatepequez,Alotenango
Sacatepequez,Antigua Guatemala 
Sacatepequez,Ciudad Vieja
Sacatepequez,Jocotenango
Sacatepequez,Magdalena Milpas Altas
Sacatepequez,Pastores
Sacatepequez,San Antonio Aguas Calientes
Sacatepequez,San Bartolomé Milpas Altas
Sacatepequez,San Lucas Sacatepéquez
Sacatepequez,San Miguel Dueñas
Sacatepequez,Santa Catarina Barahona
Sacatepequez,Santa Lucía Milpas Altas
Sacatepequez,Santa María de Jesús
Sacatepequez,Santiago Sacatepéquez
Sacatepequez,Santo Domingo Xenacoj
Sacatepequez,Sumpango
San Marcos,San Marcos 
San Marcos,Ayutla
San Marcos,Catarina
San Marcos,Comitancillo
San Marcos,Concepción Tutuapa
San Marcos,El Quetzal
San Marcos,El Rodeo
San Marcos,El Tumblador
San Marcos,Ixchiguán
San Marcos,La Reforma
San Marcos,Malacatán
San Marcos,Nuevo Progreso
San Marcos,Ocós
San Marcos,Pajapita
San Marcos,Esquipulas Palo Gordo
San Marcos,San Antonio Sacatepéquez
San Marcos,San Cristóbal Cucho
San Marcos,San José Ojetenam
San Marcos,San Lorenzo
San Marcos,San Miguel Ixtahuacán
San Marcos,San Pablo
San Marcos,San Pedro Sacatepéquez
San Marcos,San Rafael Pie de la Cuesta
San Marcos,Sibinal
San Marcos,Sipacapa
San Marcos,Tacaná
San Marcos,Tajumulco
San Marcos,Tejutla
San Marcos,Río Blanco
San Marcos,La Blanca
Santa Rosa,Cuilapa 
Santa Rosa,Casillas Santa Rosa
Santa Rosa,Chiquimulilla
Santa Rosa,Guazacapán
Santa Rosa,Nueva Santa Rosa
Santa Rosa,Oratorio
Santa Rosa,Pueblo Nuevo Viñas
Santa Rosa,San Juan Tecuaco
Santa Rosa,San Rafael Las Flores
Santa Rosa,Santa Cruz Naranjo
Santa Rosa,Santa María Ixhuatán
Santa Rosa,Santa Rosa de Lima
Santa Rosa,Taxisco
Santa Rosa,Barberena
Sololá,Sololá 
Sololá,Concepción
Sololá,Nahualá
Sololá,Panajachel
Sololá,San Andrés Semetabaj
Sololá,San Antonio Palopó
Sololá,San José Chacayá
Sololá,San Juan La Laguna
Sololá,San Lucas Tolimán
Sololá,San Marcos La Laguna
Sololá,San Pablo La Laguna
Sololá,San Pedro La Laguna
Sololá,Santa Catarina Ixtahuacán
Sololá,Santa Catarina Palopó
Sololá,Santa Clara La Laguna
Sololá,Santa Cruz La Laguna
Sololá,Santa Lucía Utatlán
Sololá,Santa María Visitación
Sololá,Santiago Atitlán
Suchitepéquez,Mazatenango 
Suchitepéquez,Cuyotenango
Suchitepéquez,San Francisco Zapotitlán
Suchitepéquez,San Bernardino
Suchitepéquez,San José El Ídolo
Suchitepéquez,Santo Domingo Suchitépequez
Suchitepéquez,San Lorenzo
Suchitepéquez,Samayac
Suchitepéquez,San Pablo Jocopilas
Suchitepéquez,San Antonio Suchitépequez
Suchitepéquez,San Miguel Panán
Suchitepéquez,San Gabriel
Suchitepéquez,Chicacao
Suchitepéquez,Patulul
Suchitepéquez,Santa Bárbara
Suchitepéquez,San Juan Bautista
Suchitepéquez,Santo Tomás La Unión
Suchitepéquez,Zunilito
Suchitepéquez,Pueblo Nuevo
Suchitepéquez,Río Bravo
Suchitepéquez,San José la Máquina
Totonicapán,Totonicapán 
Totonicapán,San Cristóbal Totonicapán
Totonicapán,San Francisco El Alto
Totonicapán,San Andrés Xecul
Totonicapán,Momostenango
Totonicapán,Santa María Chiquimula
Totonicapán,Santa Lucía La Reforma
Totonicapán,San Bartolo
Zacapa,Cabañas
Zacapa,Estanzuela
Zacapa,Gualán
Zacapa,Huité
Zacapa,La Unión
Zacapa,Río Hondo
Zacapa,San Jorge
Zacapa,San Diego
Zacapa,Teculután
Zacapa,Usumatlán
Zacapa,Zacapa 
